Route Id,Latitude,Longitude,Speed,Timestamp,Id,Direction,Agency Name,Agency Id,Route Short Name,Trip Headsign
4174,-34.8934,-58.39036,7.222222,1568158614,31712,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Est. Glew
4173,-34.76598,-58.34088,7.222222,1568158614,31714,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Est. Glew
4171,-34.8893,-58.38024,6.111111,1568158614,31721,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R1,Ramal 1 - Tapin y Larreta
2829,-34.72859,-58.4400253,10.2777767,1568158614,31801,1,MICRO OMNIBUS MITRE S.A.,143,318B,a Pte. DE La Noria
2829,-34.80778,-58.41152,10.2777767,1568158614,31804,1,MICRO OMNIBUS MITRE S.A.,143,318B,a Pte. DE La Noria
2827,-34.74475,-58.3993454,10.2777767,1568158616,31813,1,MICRO OMNIBUS MITRE S.A.,143,318TRONC,a Est. CLAyPOLE x ADROGUE
2827,-34.73166,-58.41411,7.777777,1568158614,31816,1,MICRO OMNIBUS MITRE S.A.,143,318TRONC,a Est. CLAyPOLE x ADROGUE
4174,-34.92014,-58.3808746,2.5,1568157656,31825,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R4,Ramal 4 - Donato Alvarez y Garay - Bº San José x !
4173,-34.96597,-58.3802261,8.055555,1568158614,31829,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Donato Alvarez y Garay - Bº San José x !
4173,-34.91718,-58.3848152,8.888888,1568158616,31832,1,EMPRESA DE TRANSPORTE DEL SUR SRL,110,506R3,Ramal 3 - Est. Glew
2830,-34.72276,-58.4443741,3.611111,1568158616,31834,1,MICRO OMNIBUS MITRE S.A.,143,318C,a Pte. DE La Noria x BURZACO
